Date,Sentiment,average_sentiment_score,Open,High,Low,Close,Volume
15-06-2017,positive,0.554136427,13679.24,13793,13647.89,13768.02,230.387429
16-06-2017,negative,0.319874881,13785.17,13795,13503,13697,215.187689
17-06-2017,positive,0.614852574,13697,13799.65,13690,13780,112.032288
18-06-2017,negative,0.498236719,13789.98,14067.99,13755.43,14024.99,337.511803
19-06-2017,positive,0.596086774,14005.01,14388.88,13900.04,14370,343.775542
20-06-2017,positive,0.578506758,14370.02,14700,14370.01,14682.93,482.436951
21-06-2017,positive,0.630176705,14682.92,14750,14270.43,14580,409.879254
22-06-2017,positive,0.513768459,14576.87,14935.69,14480,14930,272.987374
23-06-2017,negative,0.358346587,14930,15473.49,14873.19,15100,506.814852
24-06-2017,negative,0.381784988,15100,15187.94,14680,14900,592.2957
25-06-2017,positive,0.633582768,14900,14919.77,14649.5,14732.75,306.214146
26-06-2017,positive,0.653330504,14710.02,15160.31,14710,15059.94,300.095213
27-06-2017,negative,0.3739805,15059.94,15150,14878.21,15113.09,318.419466
28-06-2017,positive,0.575953624,15113.09,15113.09,14903,14955.01,281.97536
29-06-2017,positive,0.600307179,14973.97,14975,14723.02,14751,250.038453
30-06-2017,positive,0.671978098,14751,14944.99,14751,14919.99,170.789852
01-07-2017,negative,0.4045967,14919.99,14920,14551.03,14600,254.393445
02-07-2017,positive,0.674854585,14600.01,14725.09,14571.91,14634.97,254.078279
03-07-2017,negative,0.486869165,14634.97,14755,14544,14692.4,227.582245
04-07-2017,positive,0.726158657,14700,14897.71,14685.01,14897.71,185.831303
05-07-2017,positive,0.634559821,14897.71,15025,14850,14924.93,229.469833
06-07-2017,positive,0.541087719,14902.57,14925,14730.01,14754.83,222.313632
07-07-2017,positive,0.658598028,14769.96,14859,14750.82,14799.96,220.570505
08-07-2017,negative,0.409071239,14799.97,14866.51,14694.51,14710,178.884232
09-07-2017,negative,0.424848194,14719.99,14759.99,14600,14717.02,212.537829
10-07-2017,negative,0.499497172,14717.02,14776.65,14617.19,14735,189.579885
11-07-2017,positive,0.704794052,14753.17,14887.08,14675.11,14675.11,183.347935
12-07-2017,negative,0.492019089,14690,14773,14675.11,14750.01,126.449936
13-07-2017,negative,0.483868604,14750.01,14926.22,14660,14835.99,180.649098
14-07-2017,positive,0.604923824,14834.58,14899.98,14727.64,14750.05,182.93515
15-07-2017,positive,0.524779809,14763.21,14798.64,14670,14774.53,171.434432
16-07-2017,negative,0.485374633,14758.01,14853.53,14720,14816.99,246.924015
17-07-2017,positive,0.560619403,14780.12,14838.96,14689.99,14709.54,199.394236
18-07-2017,positive,0.631543427,14700,14772.99,14660,14770,146.750464
19-07-2017,negative,0.392866412,14779,14849,14760.4,14820,195.248799
20-07-2017,positive,0.537792216,14847.97,14847.97,14744.99,14759,152.682541
21-07-2017,positive,0.595792739,14760,14863.95,14750.16,14837.17,148.682799
22-07-2017,negative,0.461764691,14861.99,15000.04,14772.04,14988.89,237.579134
23-07-2017,positive,0.593137647,14970.01,15119.9,14947.44,15008.07,283.914378
24-07-2017,negative,0.347588252,15008.07,15200,14977.01,15170.02,212.593518
25-07-2017,negative,0.464921596,15172,15299.99,15073.03,15093.71,271.525565
26-07-2017,negative,0.482352,15091.02,15099.99,14906.88,15000.01,267.948739
27-07-2017,negative,0.479335232,15010,15020,14750,14818.49,279.120786
28-07-2017,positive,0.605581125,14805.81,14957.56,14795.05,14879.99,135.334872
29-07-2017,positive,0.553216571,14879.99,15020,14855.26,14960,143.841923
30-07-2017,positive,0.544137171,14950.06,15056.8,14921,15053.39,195.549885
31-07-2017,negative,0.416704594,15053.4,15117.56,14969.36,15019.66,306.294662
01-08-2017,positive,0.598665825,15031.01,15094,14900,15038.62,240.017596
02-08-2017,negative,0.485699256,15033.87,15095,14990,15063,227.757728
03-08-2017,negative,0.455305375,15063,15114.98,15016.05,15016.16,180.635523
04-08-2017,positive,0.54514478,15051.93,15100,14980.88,14988,211.97233
05-08-2017,positive,0.618202414,14980.89,15000,14889.5,14959.9,226.748359
06-08-2017,positive,0.530959911,14959.9,15042.68,14858.01,14884.28,218.198236
07-08-2017,positive,0.576725623,14889.15,15100,14880.93,15099,213.486769
08-08-2017,negative,0.431590552,15099,15276.13,15099,15242.63,250.254332
09-08-2017,positive,0.545511673,15242.64,15300.01,15189.09,15280.62,175.723094
10-08-2017,negative,0.471221218,15275.31,15307.56,15165,15185.02,166.605
11-08-2017,positive,0.508007231,15185.01,15265,15130.24,15160,146.291875
12-08-2017,positive,0.635175351,15158.57,15231.51,15135.9,15170,172.989883
13-08-2017,negative,0.387476512,15170,15172.99,14910,14975,257.622957
14-08-2017,negative,0.320430076,14974.98,15050,14900,14950,241.666106
15-08-2017,negative,0.482907641,14968.02,15113.49,14950,15086,201.905635
16-08-2017,positive,0.528549116,15086,15113.49,15000,15002.59,194.74006
17-08-2017,positive,0.617184768,15002.59,15048,14749.54,14808.99,357.76452
18-08-2017,negative,0.404679922,14809,14849.23,14620,14695.02,323.948661
19-08-2017,positive,0.627858268,14720,14836.69,14602.44,14755.08,293.854951
20-08-2017,positive,0.50180287,14755.08,14779.89,14440,14519.99,266.336644
21-08-2017,negative,0.393485252,14501.05,14855,14150,14276.02,465.766359
22-08-2017,positive,0.526405581,14271.24,14426.06,14150,14426.06,348.659283
23-08-2017,positive,0.511404529,14430,14480.84,14299.98,14401.52,245.850207
24-08-2017,positive,0.522108092,14401.53,14465.99,14360.35,14455.55,210.758169
25-08-2017,negative,0.487644515,14455.55,14638,14200,14571.77,217.353044
26-08-2017,negative,0.41438665,14571.77,14609.03,14498.27,14548.94,148.156049
27-08-2017,negative,0.309124828,14537.15,14749.65,14537.15,14749.63,164.968149
