date,Sentiment,average_sentiment_score
02-03-2019,positive,0.683702767
03-03-2019,positive,0.643028677
04-03-2019,negative,0.480254233
05-03-2019,positive,0.539439917
06-03-2019,positive,0.545596778
07-03-2019,positive,0.581274629
08-03-2019,positive,0.521674812
09-03-2019,positive,0.548634946
10-03-2019,negative,0.467355192
11-03-2019,negative,0.462451696
12-03-2019,negative,0.487166822
13-03-2019,negative,0.45160839
14-03-2019,negative,0.412962139
15-03-2019,negative,0.483693153
16-03-2019,positive,0.582569838
17-03-2019,negative,0.418782741
18-03-2019,positive,0.576023042
19-03-2019,positive,0.55181849
20-03-2019,negative,0.449915379
21-03-2019,positive,0.571747899
22-03-2019,negative,0.498517811
23-03-2019,negative,0.402578652
24-03-2019,positive,0.523828864
25-03-2019,negative,0.454779804
26-03-2019,negative,0.498384416
27-03-2019,positive,0.531405807
28-03-2019,negative,0.475641161
29-03-2019,negative,0.478194296
30-03-2019,positive,0.547857046
31-03-2019,negative,0.35686484
01-04-2019,negative,0.458156258
02-04-2019,positive,0.510457933
03-04-2019,negative,0.446106493
04-04-2019,positive,0.533230126
05-04-2019,negative,0.443506092
06-04-2019,positive,0.510802627
07-04-2019,positive,0.549414933
08-04-2019,positive,0.596105754
09-04-2019,positive,0.525229514
10-04-2019,negative,0.474404573
11-04-2019,negative,0.470865995
12-04-2019,negative,0.397780448
13-04-2019,negative,0.447299838
14-04-2019,positive,0.501685143
15-04-2019,positive,0.527380586
16-04-2019,positive,0.514224946
17-04-2019,positive,0.520393312
18-04-2019,positive,0.553118289
19-04-2019,negative,0.422976941
20-04-2019,positive,0.502072513
21-04-2019,positive,0.51050216
22-04-2019,negative,0.486627787
23-04-2019,positive,0.531790495
24-04-2019,negative,0.436223179
25-04-2019,positive,0.505291939
26-04-2019,positive,0.512492836
27-04-2019,positive,0.526802957
28-04-2019,positive,0.55183202
29-04-2019,negative,0.47903809
30-04-2019,positive,0.520997167
01-05-2019,negative,0.415584624
02-05-2019,positive,0.526944995
03-05-2019,negative,0.46379739
04-05-2019,positive,0.518780828
05-05-2019,negative,0.432411373
06-05-2019,positive,0.516851246
07-05-2019,negative,0.409418851
08-05-2019,negative,0.370857656
09-05-2019,negative,0.435459405
10-05-2019,negative,0.498642981
11-05-2019,positive,0.536537707
12-05-2019,positive,0.665676594
13-05-2019,positive,0.511703968
14-05-2019,negative,0.469951212
15-05-2019,negative,0.439294726
16-05-2019,negative,0.432304382
17-05-2019,negative,0.453773856
18-05-2019,positive,0.54340899
19-05-2019,negative,0.473557413
20-05-2019,positive,0.764553368
21-05-2019,positive,0.53201884
22-05-2019,negative,0.442635268
23-05-2019,positive,0.569825172
24-05-2019,positive,0.523483992
25-05-2019,positive,0.520478845
26-05-2019,positive,0.641411424
27-05-2019,negative,0.399316818
28-05-2019,negative,0.475033164
29-05-2019,negative,0.469220042
30-05-2019,negative,0.382464737
31-05-2019,negative,0.431917876
01-06-2019,negative,0.410739303
02-06-2019,positive,0.540867269
03-06-2019,positive,0.504129291
04-06-2019,positive,0.521844685
05-06-2019,positive,0.545941114
06-06-2019,positive,0.611245871
07-06-2019,positive,0.555234849
08-06-2019,positive,0.637840331
09-06-2019,positive,0.501908243
10-06-2019,positive,0.585710883
11-06-2019,positive,0.506416261
12-06-2019,positive,0.500481725
13-06-2019,positive,0.507407248
14-06-2019,negative,0.440609425
15-06-2019,negative,0.4211891
16-06-2019,positive,0.566066325
17-06-2019,negative,0.477181673
18-06-2019,negative,0.485622138
19-06-2019,positive,0.510410249
20-06-2019,negative,0.420430899
21-06-2019,negative,0.446535259
22-06-2019,negative,0.494504482
23-06-2019,negative,0.289429426
24-06-2019,positive,0.540319741
25-06-2019,negative,0.364234149
26-06-2019,negative,0.417873323
27-06-2019,negative,0.376539737
28-06-2019,positive,0.550559402
29-06-2019,positive,0.605940163
30-06-2019,negative,0.342282891
01-07-2019,negative,0.424416602
02-07-2019,negative,0.470982343
03-07-2019,negative,0.465568602
04-07-2019,positive,0.619090974
05-07-2019,negative,0.498485416
06-07-2019,positive,0.542024136
07-07-2019,negative,0.440460503
08-07-2019,positive,0.539564252
09-07-2019,negative,0.472964168
10-07-2019,negative,0.428635508
11-07-2019,positive,0.629775047
12-07-2019,positive,0.661201119
13-07-2019,negative,0.287103236
14-07-2019,positive,0.563156545
15-07-2019,positive,0.636677325
16-07-2019,negative,0.469387472
17-07-2019,positive,0.532835543
18-07-2019,negative,0.388846368
19-07-2019,negative,0.4956747
20-07-2019,positive,0.576351881
21-07-2019,negative,0.405309349
22-07-2019,negative,0.407865107
23-07-2019,negative,0.364323229
24-07-2019,negative,0.490394562
25-07-2019,positive,0.503749549
26-07-2019,positive,0.683561385
27-07-2019,positive,0.503688872
28-07-2019,negative,0.415701121
29-07-2019,negative,0.450186491
30-07-2019,negative,0.458268106
31-07-2019,positive,0.562444806
01-08-2019,negative,0.376679748
02-08-2019,positive,0.529780924
03-08-2019,negative,0.452680379
04-08-2019,positive,0.541096926
05-08-2019,positive,0.577089787
06-08-2019,positive,0.57378459
